Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title
1,2,1,0.83,0,2,29.0,147,2,8
1,3,0,30.0,0,0,12.475,147,2,9
0,3,1,22.0,0,0,9.0,147,2,12
1,3,1,29.0,0,0,9.5,147,2,12
1,3,0,28.0,0,0,7.7875,147,1,9
0,1,1,28.0,0,0,47.1,147,2,12
1,2,0,17.0,0,0,10.5,147,2,9
1,3,0,33.0,3,0,15.85,147,2,13
0,3,1,16.0,1,3,34.375,147,2,12
0,3,1,28.0,0,0,8.05,147,2,12
1,1,0,23.0,3,2,263.0,63,2,9
0,3,1,24.0,0,0,8.05,147,2,12
0,3,1,29.0,0,0,8.05,147,2,12
0,3,1,20.0,0,0,7.8542,147,2,12
0,1,1,46.0,1,0,61.175,122,2,12
0,3,1,26.0,1,2,20.575,147,2,12
0,3,1,59.0,0,0,7.25,147,2,12
0,3,1,28.0,0,0,8.05,147,2,12
0,1,1,71.0,0,0,34.6542,12,0,12
1,1,1,23.0,0,1,63.3583,91,0,12
1,2,0,34.0,0,1,23.0,147,2,13
0,2,1,34.0,1,0,26.0,147,2,12
0,3,0,28.0,0,0,7.8958,147,2,9
0,3,1,28.0,0,0,7.8958,147,2,12
0,1,1,21.0,0,1,77.2875,98,2,12
0,3,1,33.0,0,0,8.6542,147,2,12
0,3,1,37.0,2,0,7.925,147,2,12
0,3,1,28.0,0,0,7.8958,147,2,12
1,3,0,21.0,0,0,7.65,147,2,9
1,3,1,28.0,0,0,7.775,147,2,12
0,3,1,38.0,0,0,7.8958,147,2,12
1,3,0,28.0,1,0,24.15,147,1,9
0,1,1,47.0,0,0,52.0,52,2,12
0,3,0,14.5,1,0,14.4542,147,0,9
0,3,1,22.0,0,0,8.05,147,2,12
0,3,0,20.0,1,0,9.825,147,2,9
0,3,0,17.0,0,0,14.4583,147,0,9
0,3,1,21.0,0,0,7.925,147,2,12
0,3,1,70.5,0,0,7.75,147,1,12
0,2,1,29.0,1,0,21.0,147,2,12
0,1,1,24.0,0,1,247.5208,36,0,12
0,3,0,2.0,4,2,31.275,147,2,9
0,2,1,21.0,2,0,73.5,147,2,12
0,3,1,28.0,0,0,8.05,147,2,12
0,2,1,32.5,1,0,30.0708,147,0,12
1,2,0,32.5,0,0,13.0,116,2,9
0,1,1,54.0,0,1,77.2875,98,2,12
1,3,1,12.0,1,0,11.2417,147,0,8
0,3,1,28.0,0,0,7.75,147,1,12
1,3,1,24.0,0,0,7.1417,147,2,12
1,3,0,28.0,1,1,22.3583,138,0,9
0,3,1,45.0,0,0,6.975,147,2,12
0,3,1,33.0,0,0,7.8958,147,0,12
0,3,1,20.0,0,0,7.05,147,2,12
0,3,0,47.0,1,0,14.5,147,2,13
1,2,0,29.0,1,0,26.0,147,2,13
0,2,1,25.0,0,0,13.0,147,2,12
0,2,1,23.0,0,0,15.0458,147,0,12
1,1,0,19.0,0,2,26.2833,107,2,9
0,1,1,37.0,1,0,53.1,55,2,12
0,3,1,16.0,0,0,9.2167,147,2,12
0,1,1,24.0,0,0,79.2,45,0,12
0,3,0,28.0,0,2,15.2458,147,0,13
1,3,0,22.0,0,0,7.75,147,2,9
1,3,0,24.0,1,0,15.85,147,2,13
0,3,1,19.0,0,0,6.75,147,1,12
0,2,1,18.0,0,0,11.5,147,2,12
0,2,1,19.0,1,1,36.75,147,2,12
1,3,1,27.0,0,0,7.7958,147,2,12
0,3,0,9.0,2,2,34.375,147,2,9
0,2,1,36.5,0,2,26.0,141,2,12
0,2,1,42.0,0,0,13.0,147,2,15
0,2,1,51.0,0,0,12.525,147,2,15
1,1,0,22.0,1,0,66.6,61,2,13
0,3,1,55.5,0,0,8.05,147,2,12
0,3,1,40.5,0,2,14.5,147,2,12
0,3,1,28.0,0,0,7.3125,147,2,12
0,1,1,51.0,0,1,61.3792,147,0,12
1,3,0,16.0,0,0,7.7333,147,1,9
0,3,1,30.0,0,0,8.05,147,2,12
0,3,1,28.0,0,0,8.6625,147,2,12
0,3,1,28.0,8,2,69.55,147,2,8
0,3,1,44.0,0,1,16.1,147,2,12
1,2,0,40.0,0,0,15.75,147,2,13
0,3,1,26.0,0,0,7.775,147,2,12
0,3,1,17.0,0,0,8.6625,147,2,12
0,3,1,1.0,4,1,39.6875,147,2,8
1,3,1,9.0,0,2,20.525,147,2,8
1,1,0,28.0,0,1,55.0,123,2,13
0,3,0,45.0,1,4,27.9,147,2,13
0,1,1,28.0,0,0,25.925,147,2,12
0,3,1,28.0,0,0,56.4958,147,2,12
0,1,1,61.0,0,0,33.5,18,2,12
0,3,1,4.0,4,1,29.125,147,1,8
1,3,0,1.0,1,1,11.1333,147,2,9
0,3,1,21.0,0,0,7.925,147,2,12
0,1,1,56.0,0,0,30.6958,14,0,12
0,3,1,18.0,1,1,7.8542,147,2,12
0,3,1,28.0,3,1,25.4667,147,2,8
0,1,0,50.0,0,0,28.7125,69,0,9
0,2,1,30.0,0,0,13.0,147,2,12
0,3,1,36.0,0,0,0.0,147,2,12
0,3,0,28.0,8,2,69.55,147,2,9
0,2,1,28.0,0,0,15.05,147,0,12
0,3,1,9.0,4,2,31.3875,147,2,8
1,2,1,1.0,2,1,39.0,144,2,8
1,3,0,4.0,0,2,22.025,147,2,9
0,1,1,28.0,0,0,50.0,9,2,12
1,3,0,28.0,1,0,15.5,147,1,13
1,1,1,45.0,0,0,26.55,147,2,12
0,3,1,40.0,1,1,15.5,147,1,12
0,3,1,36.0,0,0,7.8958,147,2,12
1,2,0,32.0,0,0,13.0,147,2,13
0,2,1,19.0,0,0,13.0,147,2,12
1,3,0,19.0,1,0,7.8542,147,2,9
1,2,1,3.0,1,1,26.0,141,2,8
1,1,0,44.0,0,0,27.7208,28,0,13
1,1,0,58.0,0,0,146.5208,43,0,9
0,3,1,28.0,0,0,7.75,147,1,12
0,3,1,42.0,0,1,8.4042,147,2,12
1,3,0,28.0,0,0,7.75,147,1,9
0,2,0,24.0,0,0,13.0,147,2,9
0,3,1,28.0,0,0,9.5,147,2,12
0,3,1,28.0,8,2,69.55,147,2,12
0,3,1,34.0,0,0,6.4958,147,2,12
0,3,1,45.5,0,0,7.225,147,0,12
1,3,1,18.0,0,0,8.05,147,2,12
0,3,0,2.0,0,1,10.4625,145,2,9
0,3,1,32.0,1,0,15.85,147,2,12
1,3,1,26.0,0,0,18.7875,147,0,12
1,3,0,16.0,0,0,7.75,147,1,9
1,1,1,40.0,0,0,31.0,8,0,12
0,3,1,24.0,0,0,7.05,147,2,12
1,2,0,35.0,0,0,21.0,147,2,9
0,3,1,22.0,0,0,7.25,147,2,12
0,2,1,30.0,0,0,13.0,147,2,12
0,3,1,28.0,1,0,7.75,147,1,12
1,1,0,31.0,1,0,113.275,103,0,9
1,3,0,27.0,0,0,7.925,147,2,9
0,2,1,42.0,1,0,27.0,147,2,12
1,1,0,32.0,0,0,76.2917,93,0,9
0,2,1,30.0,0,0,10.5,147,2,12
1,3,1,16.0,0,0,8.05,147,2,12
0,2,1,27.0,0,0,13.0,147,2,12
0,3,1,51.0,0,0,8.05,147,2,12
0,3,1,28.0,0,0,7.8958,147,2,12
1,1,1,38.0,1,0,90.0,87,2,12
0,3,1,22.0,0,0,9.35,147,2,12
1,2,1,19.0,0,0,10.5,147,2,12
0,3,1,20.5,0,0,7.25,147,2,12
0,2,1,18.0,0,0,13.0,147,2,12
0,3,0,28.0,3,1,25.4667,147,2,9
1,1,0,35.0,1,0,83.475,80,2,13
0,3,1,29.0,0,0,7.775,147,2,12
0,2,1,59.0,0,0,13.5,147,2,12
1,3,0,5.0,4,2,31.3875,147,2,9
0,2,1,24.0,0,0,10.5,147,2,12
0,3,0,28.0,0,0,7.55,147,2,9
0,2,1,44.0,1,0,26.0,147,2,12
1,2,0,8.0,0,2,26.25,147,2,9
0,2,1,19.0,0,0,10.5,147,2,12
0,2,1,33.0,0,0,12.275,147,2,12
0,3,0,28.0,1,0,14.4542,147,0,9
1,3,0,28.0,1,0,15.5,147,1,9
0,2,1,29.0,0,0,10.5,147,2,12
0,3,1,22.0,0,0,7.125,147,2,12
0,3,1,30.0,0,0,7.225,147,0,12
0,1,1,44.0,2,0,90.0,78,1,4
0,3,0,25.0,0,0,7.775,147,2,9
1,2,0,24.0,0,2,14.5,147,2,13
1,1,1,37.0,1,1,52.5542,102,2,12
0,2,1,54.0,1,0,26.0,147,2,15
0,3,1,28.0,0,0,7.25,147,2,12
0,3,0,29.0,1,1,10.4625,145,2,13
0,1,1,62.0,0,0,26.55,83,2,12
0,3,1,30.0,1,0,16.1,147,2,12
0,3,0,41.0,0,2,20.2125,147,2,13
1,3,0,29.0,0,2,15.2458,147,0,13
1,1,0,28.0,0,0,79.2,147,0,13
1,1,0,30.0,0,0,86.5,40,2,9
1,1,0,35.0,0,0,512.3292,147,0,9
1,2,0,50.0,0,1,26.0,147,2,13
0,3,1,28.0,0,0,7.75,147,1,12
1,3,1,3.0,4,2,31.3875,147,2,8
0,1,1,52.0,1,1,79.65,134,2,12
0,1,1,40.0,0,0,0.0,46,2,12
0,3,0,28.0,0,0,7.75,147,1,9
0,2,1,36.0,0,0,10.5,147,2,12
0,3,1,16.0,4,1,39.6875,147,2,12
1,3,1,25.0,1,0,7.775,147,2,12
1,1,0,58.0,0,1,153.4625,57,2,13
1,1,0,35.0,0,0,135.6333,89,2,9
0,1,1,28.0,0,0,31.0,147,2,12
1,3,1,25.0,0,0,0.0,147,2,12
1,2,0,41.0,0,1,19.5,147,2,13
0,1,1,37.0,0,1,29.7,54,0,12
1,3,0,28.0,0,0,7.75,147,1,9
1,1,0,63.0,1,0,77.9583,113,2,9
0,3,0,45.0,0,0,7.75,147,2,9
0,2,1,28.0,0,0,0.0,147,2,12
0,3,1,7.0,4,1,29.125,147,1,8
1,3,0,35.0,1,1,20.25,147,2,13
0,3,1,65.0,0,0,7.75,147,1,12
0,3,1,28.0,0,0,7.8542,147,2,12
0,3,1,16.0,0,0,9.5,147,2,12
1,3,1,19.0,0,0,8.05,147,2,12
0,1,1,28.0,0,0,26.0,3,2,12
0,3,1,33.0,0,0,8.6625,147,0,12
1,3,1,30.0,0,0,9.5,147,2,12
0,3,1,22.0,0,0,7.8958,147,2,12
1,2,1,42.0,0,0,13.0,147,2,12
1,3,0,22.0,0,0,7.75,147,1,9
1,1,0,26.0,0,0,78.85,147,2,9
1,1,0,19.0,1,0,91.0792,31,0,13
0,2,1,36.0,0,0,12.875,90,0,12
0,3,0,24.0,0,0,8.85,147,2,9
0,3,1,24.0,0,0,7.8958,147,2,12
0,1,1,28.0,0,0,27.7208,147,0,12
0,3,1,23.5,0,0,7.2292,147,0,12
0,1,0,2.0,1,2,151.55,62,2,9
1,1,1,28.0,0,0,30.5,51,2,12
1,1,0,50.0,0,1,247.5208,36,0,13
1,3,0,28.0,0,0,7.75,147,1,9
1,3,1,28.0,2,0,23.25,147,1,12
0,3,1,19.0,0,0,0.0,147,2,12
1,2,0,28.0,0,0,12.35,116,1,9
0,3,1,28.0,0,0,8.05,147,2,12
1,1,1,0.92,1,2,151.55,62,2,8
1,1,0,28.0,0,0,110.8833,147,0,9
1,1,0,17.0,1,0,108.9,74,0,13
0,2,1,30.0,1,0,24.0,147,0,12
1,1,0,30.0,0,0,56.9292,125,0,9
1,1,0,24.0,0,0,83.1583,72,0,9
1,1,0,18.0,2,2,262.375,35,0,9
0,2,0,26.0,1,1,26.0,147,2,13
0,3,1,28.0,0,0,7.8958,147,2,12
0,2,1,43.0,1,1,26.25,147,2,12
1,3,0,26.0,0,0,7.8542,147,2,9
1,2,0,24.0,1,0,26.0,147,2,13
0,2,1,54.0,0,0,14.0,147,2,4
1,1,0,31.0,0,2,164.8667,76,2,9
1,1,0,40.0,1,1,134.5,124,0,13
0,3,1,22.0,0,0,7.25,147,2,12
0,3,1,27.0,0,0,7.8958,147,2,12
1,2,0,30.0,0,0,12.35,147,1,9
1,2,0,22.0,1,1,29.0,147,2,13
0,3,1,28.0,8,2,69.55,147,2,12
1,1,0,36.0,0,0,135.6333,65,0,9
0,3,1,61.0,0,0,6.2375,147,2,12
1,2,0,36.0,0,0,13.0,90,2,13
1,3,0,31.0,1,1,20.525,147,2,13
1,1,0,16.0,0,1,57.9792,17,0,9
1,3,0,28.0,2,0,23.25,147,1,9
0,1,1,45.5,0,0,28.5,56,2,12
0,1,1,38.0,0,1,153.4625,85,2,12
0,3,1,16.0,2,0,18.0,147,2,12
1,1,0,28.0,1,0,133.65,147,2,13
0,3,1,28.0,0,0,7.8958,147,2,12
0,1,1,29.0,1,0,66.6,61,2,12
1,1,0,41.0,0,0,134.5,127,0,9
1,3,1,45.0,0,0,8.05,147,2,12
0,1,1,45.0,0,0,35.5,146,2,12
1,2,1,2.0,1,1,26.0,141,2,8
1,1,0,24.0,3,2,263.0,63,2,9
0,2,1,28.0,0,0,13.0,147,2,12
0,2,1,25.0,0,0,13.0,147,2,12
0,2,1,36.0,0,0,13.0,147,2,12
1,2,0,24.0,0,0,13.0,142,2,9
1,2,0,40.0,0,0,13.0,147,2,9
1,3,0,28.0,1,0,16.1,147,2,13
1,3,1,3.0,1,1,15.9,147,2,8
0,3,1,42.0,0,0,8.6625,147,2,12
0,3,1,23.0,0,0,9.225,147,2,12
0,1,1,28.0,0,0,35.0,59,2,12
0,3,1,15.0,1,1,7.2292,147,0,12
0,3,1,25.0,1,0,17.8,147,2,12
0,3,1,28.0,0,0,7.225,147,0,12
0,3,1,28.0,0,0,9.5,147,2,12
1,1,0,22.0,0,1,55.0,123,2,9
0,2,0,38.0,0,0,13.0,147,2,9
1,3,0,28.0,0,0,7.8792,147,1,9
1,3,0,28.0,0,0,7.8792,147,1,9
0,3,1,40.0,1,4,27.9,147,2,12
0,2,1,29.0,1,0,27.7208,147,0,12
0,3,0,45.0,0,1,14.4542,147,0,13
0,3,1,35.0,0,0,7.05,147,2,12
0,3,1,28.0,1,0,15.5,147,1,12
0,3,1,30.0,0,0,7.25,147,2,12
1,1,0,60.0,1,0,75.25,104,0,13
1,3,0,28.0,0,0,7.2292,147,0,13
1,3,0,28.0,0,0,7.75,147,1,9
1,1,0,24.0,0,0,69.3,24,0,11
1,1,1,25.0,1,0,55.4417,131,0,12
0,3,1,18.0,1,0,6.4958,147,2,12
0,3,1,19.0,0,0,8.05,147,2,12
0,1,1,22.0,0,0,135.6333,147,0,12
0,3,0,3.0,3,1,21.075,147,2,9
1,1,0,28.0,1,0,82.1708,147,0,13
1,3,0,22.0,0,0,7.25,147,2,9
0,1,1,27.0,0,2,211.5,79,0,12
0,3,1,20.0,0,0,4.0125,147,0,12
0,3,1,19.0,0,0,7.775,147,2,12
1,1,0,42.0,0,0,227.525,147,0,9
1,3,0,1.0,0,2,15.7417,147,0,9
0,3,1,32.0,0,0,7.925,147,2,12
1,1,0,35.0,1,0,52.0,147,2,13
0,3,1,28.0,0,0,7.8958,147,2,12
0,2,1,18.0,0,0,73.5,147,2,12
0,3,1,1.0,5,2,46.9,147,2,8
1,2,0,36.0,0,0,13.0,147,2,9
0,3,1,28.0,0,0,7.7292,147,1,12
1,2,0,17.0,0,0,12.0,147,0,9
1,1,1,36.0,1,2,120.0,47,2,12
1,3,1,21.0,0,0,7.7958,147,2,12
0,3,1,28.0,2,0,7.925,147,2,12
1,1,0,23.0,1,0,113.275,103,0,9
1,3,0,24.0,0,2,16.7,145,2,13
0,3,1,22.0,0,0,7.7958,147,2,12
0,3,0,31.0,0,0,7.8542,147,2,9
0,2,1,46.0,0,0,26.0,147,2,12
0,2,1,23.0,0,0,10.5,147,2,4
1,2,0,28.0,0,0,12.65,147,2,13
1,3,1,39.0,0,0,7.925,147,2,12
0,3,1,26.0,0,0,8.05,147,2,12
0,3,0,21.0,1,0,9.825,147,2,9
0,3,1,28.0,1,0,15.85,147,2,12
0,3,0,20.0,0,0,8.6625,147,2,9
0,2,1,34.0,1,0,21.0,147,2,12
0,3,1,51.0,0,0,7.75,147,2,12
1,2,1,3.0,1,1,18.75,147,2,8
0,3,1,21.0,0,0,7.775,147,2,12
0,3,0,28.0,3,1,25.4667,147,2,9
0,3,1,28.0,0,0,7.8958,147,2,12
0,3,1,28.0,0,0,6.8583,147,1,12
1,1,0,33.0,1,0,90.0,78,1,9
0,2,1,28.0,0,0,0.0,147,2,12
1,3,1,44.0,0,0,7.925,147,2,12
0,3,0,28.0,0,0,8.05,147,2,13
1,2,0,34.0,1,1,32.5,147,2,13
1,2,0,18.0,0,2,13.0,147,2,9
0,2,1,30.0,0,0,13.0,147,2,12
0,3,0,10.0,0,2,24.15,147,2,9
0,3,1,28.0,0,0,7.8958,147,0,12
0,3,1,21.0,0,0,7.7333,147,1,12
0,3,1,29.0,0,0,7.875,147,2,12
0,3,0,28.0,1,1,14.4,147,2,13
0,3,1,18.0,1,1,20.2125,147,2,12
0,3,1,28.0,0,0,7.25,147,2,12
1,2,0,28.0,1,0,26.0,147,2,13
1,2,0,19.0,0,0,26.0,147,2,9
0,3,1,28.0,0,0,7.75,147,1,12
1,3,1,32.0,0,0,8.05,115,2,12
1,1,1,28.0,0,0,26.55,71,2,12
1,3,0,28.0,1,0,16.1,147,2,13
1,2,0,42.0,1,0,26.0,147,2,13
0,3,1,17.0,0,0,7.125,147,2,12
0,1,1,50.0,1,0,55.9,128,2,12
1,1,0,14.0,1,2,120.0,47,2,9
0,3,0,21.0,2,2,34.375,147,2,9
1,2,0,24.0,2,3,18.75,147,2,13
0,1,1,64.0,1,4,263.0,63,2,12
0,2,1,31.0,0,0,10.5,147,2,12
1,2,0,45.0,1,1,26.25,147,2,13
0,3,1,20.0,0,0,9.5,147,2,12
0,3,1,25.0,1,0,7.775,147,2,12
1,2,0,28.0,0,0,13.0,147,2,14
1,3,1,28.0,0,0,8.1125,147,2,12
1,1,1,4.0,0,2,81.8583,10,2,8
1,2,0,13.0,0,1,19.5,147,2,9
1,1,1,34.0,0,0,26.55,147,2,12
1,3,0,5.0,2,1,19.2583,147,0,9
1,1,1,52.0,0,0,30.5,50,2,7
0,2,1,36.0,1,2,27.75,147,2,12
0,3,1,28.0,1,0,19.9667,147,2,12
0,1,1,30.0,0,0,27.75,53,0,12
1,1,1,49.0,1,0,89.1042,86,0,12
0,3,1,28.0,0,0,8.05,147,2,12
1,3,1,29.0,0,0,7.8958,147,0,12
0,1,1,65.0,0,0,26.55,126,2,12
1,1,0,28.0,1,0,51.8625,97,2,13
1,2,0,50.0,0,0,10.5,147,2,9
0,3,1,28.0,0,0,7.75,147,1,12
1,1,1,48.0,0,0,26.55,117,2,12
0,3,1,34.0,0,0,8.05,147,2,12
0,1,1,47.0,0,0,38.5,133,2,12
0,2,1,48.0,0,0,13.0,147,2,12
0,3,1,28.0,0,0,8.05,147,2,12
0,3,1,38.0,0,0,7.05,147,2,12
0,2,1,28.0,0,0,0.0,147,2,12
0,1,1,56.0,0,0,26.55,147,2,12
0,3,1,28.0,0,0,7.725,147,1,12
1,3,0,0.75,2,1,19.2583,147,0,9
0,3,1,28.0,0,0,7.25,147,2,12
0,3,1,38.0,0,0,8.6625,147,2,12
1,2,0,33.0,1,2,27.75,147,2,13
1,2,0,23.0,0,0,13.7917,90,0,13
0,3,0,22.0,0,0,9.8375,147,2,9
0,1,1,28.0,0,0,52.0,1,2,12
0,2,1,34.0,1,0,21.0,147,2,12
0,3,1,29.0,1,0,7.0458,147,2,12
0,3,1,22.0,0,0,7.5208,147,2,12
1,3,0,2.0,0,1,12.2875,147,2,9
0,3,1,9.0,5,2,46.9,147,2,8
0,2,1,28.0,0,0,0.0,147,2,12
0,3,1,50.0,0,0,8.05,147,2,12
1,3,0,63.0,0,0,9.5875,147,2,13
1,1,1,25.0,1,0,91.0792,31,0,12
0,3,0,28.0,3,1,25.4667,147,2,9
1,1,0,35.0,1,0,90.0,87,2,13
0,1,1,58.0,0,0,29.7,25,0,12
0,3,1,30.0,0,0,8.05,147,2,12
1,3,1,9.0,1,1,15.9,147,2,8
0,3,1,28.0,1,0,19.9667,147,2,12
0,3,1,21.0,0,0,7.25,147,2,12
0,1,1,55.0,0,0,30.5,64,2,12
0,1,1,71.0,0,0,49.5042,147,0,12
0,3,1,21.0,0,0,8.05,147,2,12
0,3,1,28.0,0,0,14.4583,147,0,12
1,1,0,54.0,1,0,78.2667,96,0,9
0,3,1,28.0,0,0,15.1,147,2,12
0,1,0,25.0,1,2,151.55,62,2,13
0,3,1,24.0,0,0,7.7958,147,2,12
0,3,1,17.0,0,0,8.6625,147,2,12
0,3,0,21.0,0,0,7.75,147,1,9
0,3,0,28.0,0,0,7.6292,147,1,9
0,3,0,37.0,0,0,9.5875,147,2,9
1,1,0,16.0,0,0,86.5,42,2,9
0,1,1,18.0,1,0,108.9,74,0,12
1,2,0,33.0,0,2,26.0,147,2,13
1,1,1,28.0,0,0,26.55,147,2,12
0,3,1,28.0,0,0,22.525,147,2,12
1,3,1,26.0,0,0,56.4958,147,2,12
1,3,1,29.0,0,0,7.75,147,1,12
0,3,1,28.0,0,0,8.05,147,2,12
1,1,1,36.0,0,0,26.2875,121,2,12
1,1,0,54.0,1,0,59.4,147,0,13
0,3,1,24.0,0,0,7.4958,147,2,12
0,1,1,47.0,0,0,34.0208,106,2,12
1,2,0,34.0,0,0,10.5,142,2,13
0,3,1,28.0,0,0,24.15,147,1,12
1,2,0,36.0,1,0,26.0,147,2,13
0,3,1,32.0,0,0,7.8958,147,2,12
1,1,0,30.0,0,0,93.5,39,2,9
0,3,1,22.0,0,0,7.8958,147,2,12
0,3,1,28.0,0,0,7.225,147,0,12
1,1,0,44.0,0,1,57.9792,17,0,13
0,3,1,28.0,0,0,7.2292,147,0,12
0,3,1,40.5,0,0,7.75,147,1,12
1,2,0,50.0,0,0,10.5,147,2,9
0,1,1,28.0,0,0,221.7792,88,2,12
0,3,1,39.0,0,0,7.925,147,2,12
0,2,1,23.0,2,1,11.5,147,2,12
1,2,0,2.0,1,1,26.0,147,2,9
0,3,1,28.0,0,0,7.2292,147,0,12
0,3,1,17.0,1,1,7.2292,147,0,12
1,3,0,28.0,0,2,22.3583,147,0,13
0,3,0,30.0,0,0,8.6625,147,2,9
1,2,0,7.0,0,2,26.25,147,2,9
0,1,1,45.0,0,0,26.55,26,2,7
1,1,0,30.0,0,0,106.425,147,0,9
0,3,1,28.0,0,0,14.5,147,2,12
1,1,0,22.0,0,2,49.5,27,0,9
1,1,0,36.0,0,2,71.0,20,2,9
0,3,0,9.0,4,2,31.275,147,2,9
0,3,0,11.0,4,2,31.275,147,2,9
1,2,1,32.0,1,0,26.0,147,2,12
0,1,1,50.0,1,0,106.425,82,0,12
0,1,1,64.0,0,0,26.0,147,2,12
1,2,0,19.0,1,0,26.0,147,2,13
1,2,1,28.0,0,0,13.8625,147,0,12
0,3,1,33.0,1,1,20.525,147,2,12
1,2,1,8.0,1,1,36.75,147,2,8
1,1,1,17.0,0,2,110.8833,77,0,12
0,2,1,27.0,0,0,26.0,147,2,12
0,3,1,28.0,0,0,7.8292,147,1,12
1,3,1,22.0,0,0,7.225,147,0,12
1,3,0,22.0,0,0,7.775,147,2,9
0,1,1,62.0,0,0,26.55,147,2,12
1,1,0,48.0,1,0,39.6,2,0,6
0,1,1,28.0,0,0,227.525,147,0,12
1,1,0,39.0,1,1,79.65,134,2,13
1,3,0,36.0,1,0,17.4,147,2,13
0,3,1,28.0,0,0,7.75,147,1,12
0,3,1,40.0,0,0,7.8958,147,2,12
0,2,1,28.0,0,0,13.5,147,2,12
0,3,1,28.0,0,0,8.05,147,2,12
0,3,0,28.0,0,0,8.05,147,2,9
0,3,1,24.0,2,0,24.15,147,2,12
0,3,1,19.0,0,0,7.8958,147,2,12
0,3,0,29.0,0,4,21.075,147,2,13
0,3,1,28.0,0,0,7.2292,147,0,12
1,3,1,32.0,0,0,7.8542,147,2,12
1,2,1,62.0,0,0,10.5,147,2,12
1,1,0,53.0,2,0,51.4792,48,2,13
